,state,regional_division,population,article_title,revision_id,article_quality
0,Alabama,East South Central,5074296,"Abbeville, Alabama",1171163550,C
1,Alabama,East South Central,5074296,"Adamsville, Alabama",1177621427,C
2,Alabama,East South Central,5074296,"Addison, Alabama",1168359898,C
3,Alabama,East South Central,5074296,"Akron, Alabama",1165909508,GA
4,Alabama,East South Central,5074296,"Alabaster, Alabama",1179139816,C
5,Alabama,East South Central,5074296,"Albertville, Alabama",1179198677,C
6,Alabama,East South Central,5074296,"Alexander City, Alabama",1179140073,GA
7,Alabama,East South Central,5074296,"Aliceville, Alabama",1167792390,GA
8,Alabama,East South Central,5074296,"Allgood, Alabama",1165909718,C
9,Alabama,East South Central,5074296,"Altoona, Alabama",1165909823,C
10,Alabama,East South Central,5074296,"Andalusia, Alabama",1179141586,C
11,Alabama,East South Central,5074296,"Anderson, Lauderdale County, Alabama",662691565,Stub
12,Alabama,East South Central,5074296,"Anniston, Alabama",1176049382,C
13,Alabama,East South Central,5074296,"Arab, Alabama",1171375371,C
14,Alabama,East South Central,5074296,"Ardmore, Alabama",1176903479,GA
15,Alabama,East South Central,5074296,"Argo, Alabama",1177623964,C
16,Alabama,East South Central,5074296,"Ariton, Alabama",1166014478,C
17,Alabama,East South Central,5074296,"Arley, Alabama",1166014498,C
18,Alabama,East South Central,5074296,"Ashford, Alabama",1166014593,C
19,Alabama,East South Central,5074296,"Ashland, Alabama",1174331705,C
20,Alabama,East South Central,5074296,"Ashville, Alabama",1148844011,C
21,Alabama,East South Central,5074296,"Athens, Alabama",1175308807,C
22,Alabama,East South Central,5074296,"Atmore, Alabama",1167926420,C
23,Alabama,East South Central,5074296,"Attalla, Alabama",1165507856,C
24,Alabama,East South Central,5074296,"Auburn, Alabama",1179878794,C
25,Alabama,East South Central,5074296,"Autaugaville, Alabama",1166014815,C
26,Alabama,East South Central,5074296,"Avon, Alabama",1166014861,Start
27,Alabama,East South Central,5074296,"Babbie, Alabama",1168820544,Start
28,Alabama,East South Central,5074296,"Baileyton, Alabama",1166014939,C
29,Alabama,East South Central,5074296,"Bakerhill, Alabama",1166014954,Start
30,Alabama,East South Central,5074296,"Banks, Alabama",1166014997,C
31,Alabama,East South Central,5074296,"Bay Minette, Alabama",1177963600,C
32,Alabama,East South Central,5074296,"Bayou La Batre, Alabama",1177999052,C
33,Alabama,East South Central,5074296,"Bear Creek, Alabama",1166015184,GA
34,Alabama,East South Central,5074296,"Beatrice, Alabama",1166015214,C
35,Alabama,East South Central,5074296,"Beaverton, Alabama",1166015251,Start
36,Alabama,East South Central,5074296,"Belk, Alabama",1166015313,C
37,Alabama,East South Central,5074296,"Benton, Alabama",1166015434,C
38,Alabama,East South Central,5074296,"Berlin, Alabama",1166015476,Start
39,Alabama,East South Central,5074296,"Berry, Alabama",1166015515,C
40,Alabama,East South Central,5074296,"Bessemer, Alabama",1178999596,C
41,Alabama,East South Central,5074296,"Billingsley, Alabama",1166015695,Start
42,Alabama,East South Central,5074296,"Birmingham, Alabama",1179944837,B
43,Alabama,East South Central,5074296,"Black, Alabama",1166015772,Start
44,Alabama,East South Central,5074296,"Blountsville, Alabama",1105978061,GA
45,Alabama,East South Central,5074296,"Blue Springs, Alabama",1166015902,Start
46,Alabama,East South Central,5074296,"Boaz, Alabama",1177138566,GA
47,Alabama,East South Central,5074296,"Boligee, Alabama",1166015957,C
48,Alabama,East South Central,5074296,"Bon Air, Alabama",1166015981,C
49,Alabama,East South Central,5074296,"Brantley, Alabama",1165814013,C
50,Alabama,East South Central,5074296,"Brent, Alabama",1172245542,GA
51,Alabama,East South Central,5074296,"Brewton, Alabama",1162427481,GA
52,Alabama,East South Central,5074296,"Bridgeport, Alabama",1165537046,GA
53,Alabama,East South Central,5074296,"Brighton, Alabama",1177621572,C
54,Alabama,East South Central,5074296,"Brilliant, Alabama",1166016323,GA
55,Alabama,East South Central,5074296,"Brookside, Alabama",1170769013,C
56,Alabama,East South Central,5074296,"Brookwood, Alabama",1178216914,C
57,Alabama,East South Central,5074296,"Brundidge, Alabama",1165537457,C
58,Alabama,East South Central,5074296,"Butler, Alabama",1144752979,C
59,Alabama,East South Central,5074296,"Calera, Alabama",1165537934,C
60,Alabama,East South Central,5074296,"Camden, Alabama",1176316224,GA
61,Alabama,East South Central,5074296,"Camp Hill, Alabama",1166017104,C
62,Alabama,East South Central,5074296,"Carbon Hill, Alabama",1175376595,C
63,Alabama,East South Central,5074296,"Cardiff, Alabama",1166017260,Start
64,Alabama,East South Central,5074296,"Carolina, Alabama",1166017310,Start
65,Alabama,East South Central,5074296,"Carrollton, Alabama",1096812581,C
66,Alabama,East South Central,5074296,"Castleberry, Alabama",1166017442,Start
67,Alabama,East South Central,5074296,"Cedar Bluff, Alabama",1177836881,C
68,Alabama,East South Central,5074296,"Center Point, Alabama",1174837569,C
69,Alabama,East South Central,5074296,"Centre, Alabama",1164314017,C
70,Alabama,East South Central,5074296,"Centreville, Alabama",1172134285,C
71,Alabama,East South Central,5074296,"Chatom, Alabama",1159488446,C
72,Alabama,East South Central,5074296,"Chelsea, Alabama",1165539092,C
73,Alabama,East South Central,5074296,"Cherokee, Alabama",1166017755,C
74,Alabama,East South Central,5074296,"Chickasaw, Alabama",1165539195,C
75,Alabama,East South Central,5074296,"Childersburg, Alabama",1165539227,GA
76,Alabama,East South Central,5074296,"Citronelle, Alabama",1165539457,C
77,Alabama,East South Central,5074296,"Clanton, Alabama",1158612343,GA
78,Alabama,East South Central,5074296,"Clay, Alabama",1177621993,C
79,Alabama,East South Central,5074296,"Clayhatchee, Alabama",1166018079,Start
80,Alabama,East South Central,5074296,"Clayton, Alabama",1155236230,C
81,Alabama,East South Central,5074296,"Cleveland, Alabama",1168466910,C
82,Alabama,East South Central,5074296,"Clio, Alabama",1165644511,Start
83,Alabama,East South Central,5074296,"Coaling, Alabama",1166018304,C
84,Alabama,East South Central,5074296,"Coffee Springs, Alabama",1166018326,Start
85,Alabama,East South Central,5074296,"Coffeeville, Alabama",1166029689,C
86,Alabama,East South Central,5074296,"Coker, Alabama",1166018360,Start
87,Alabama,East South Central,5074296,"Collinsville, Alabama",1177947751,C
88,Alabama,East South Central,5074296,"Colony, Alabama",1166018463,GA
89,Alabama,East South Central,5074296,"Columbia, Alabama",1166018475,C
90,Alabama,East South Central,5074296,"Columbiana, Alabama",1151357569,C
91,Alabama,East South Central,5074296,"Coosada, Alabama",1172561590,C
92,Alabama,East South Central,5074296,"Cordova, Alabama",1165645181,GA
93,Alabama,East South Central,5074296,"Cottonwood, Alabama",1096812941,C
94,Alabama,East South Central,5074296,"County Line, Alabama",1166018950,Start
95,Alabama,East South Central,5074296,"Courtland, Alabama",1157580326,GA
96,Alabama,East South Central,5074296,"Cowarts, Alabama",1166019003,C
97,Alabama,East South Central,5074296,"Creola, Alabama",1139764613,GA
98,Alabama,East South Central,5074296,"Crossville, Alabama",1166066155,C
99,Alabama,East South Central,5074296,"Cuba, Alabama",1175879685,C
100,Alabama,East South Central,5074296,"Cullman, Alabama",1180017307,B
101,Alabama,East South Central,5074296,"Cusseta, Alabama",1172824345,Start
102,Alabama,East South Central,5074296,"Dadeville, Alabama",1158607851,C
103,Alabama,East South Central,5074296,"Daleville, Alabama",1154496305,GA
104,Alabama,East South Central,5074296,"Daphne, Alabama",1165646156,FA
105,Alabama,East South Central,5074296,"Dauphin Island, Alabama",1174226588,B
106,Alabama,East South Central,5074296,"Daviston, Alabama",1166066473,C
107,Alabama,East South Central,5074296,"Dayton, Alabama",1166066487,C
108,Alabama,East South Central,5074296,"Deatsville, Alabama",1166066515,C
109,Alabama,East South Central,5074296,"Decatur, Alabama",1178063438,C
110,Alabama,East South Central,5074296,"Demopolis, Alabama",1161394946,B
111,Alabama,East South Central,5074296,"Detroit, Alabama",1166066756,Start
112,Alabama,East South Central,5074296,"Dodge City, Alabama",1166066982,Start
113,Alabama,East South Central,5074296,"Dora, Alabama",1165647022,C
114,Alabama,East South Central,5074296,"Dothan, Alabama",1179231968,B
115,Alabama,East South Central,5074296,"Double Springs, Alabama",1159024876,C
116,Alabama,East South Central,5074296,"Douglas, Alabama",1166067023,GA
117,Alabama,East South Central,5074296,"Dozier, Alabama",1096813187,Start
118,Alabama,East South Central,5074296,"Dutton, Alabama",1166067175,C
119,Alabama,East South Central,5074296,"East Brewton, Alabama",1165647609,C
120,Alabama,East South Central,5074296,"Eclectic, Alabama",1145048302,C
121,Alabama,East South Central,5074296,"Edwardsville, Alabama",1166067508,C
122,Alabama,East South Central,5074296,"Elba, Alabama",1163400900,C
123,Alabama,East South Central,5074296,"Elberta, Alabama",1175895043,C
124,Alabama,East South Central,5074296,"Eldridge, Alabama",1178177223,Start
125,Alabama,East South Central,5074296,"Elkmont, Alabama",1176555126,C
126,Alabama,East South Central,5074296,"Elmore, Alabama",1166067658,C
127,Alabama,East South Central,5074296,"Emelle, Alabama",1158753175,C
128,Alabama,East South Central,5074296,"Enterprise, Alabama",1160273773,C
129,Alabama,East South Central,5074296,"Epes, Alabama",1166067751,C
130,Alabama,East South Central,5074296,"Ethelsville, Alabama",1166067848,Start
131,Alabama,East South Central,5074296,"Eufaula, Alabama",1160493671,GA
132,Alabama,East South Central,5074296,"Eutaw, Alabama",1158611853,C
133,Alabama,East South Central,5074296,"Eva, Alabama",1166067877,GA
134,Alabama,East South Central,5074296,"Evergreen, Conecuh County, Alabama",1158611789,C
135,Alabama,East South Central,5074296,"Excel, Alabama",1166067942,C
136,Alabama,East South Central,5074296,"Fairfield, Alabama",1177239572,C
137,Alabama,East South Central,5074296,"Fairhope, Alabama",1173963070,C
138,Alabama,East South Central,5074296,"Fairview, Alabama",1166068021,C
139,Alabama,East South Central,5074296,"Falkville, Alabama",1166068054,GA
140,Alabama,East South Central,5074296,"Faunsdale, Alabama",1167428050,GA
141,Alabama,East South Central,5074296,"Fayette, Alabama",1142947111,C
142,Alabama,East South Central,5074296,"Five Points, Alabama",1166068289,C
143,Alabama,East South Central,5074296,"Flomaton, Alabama",1166244039,C
144,Alabama,East South Central,5074296,"Florala, Alabama",1166068321,C
145,Alabama,East South Central,5074296,"Florence, Alabama",1178304592,C
146,Alabama,East South Central,5074296,"Foley, Alabama",1166414056,C
147,Alabama,East South Central,5074296,"Forkland, Alabama",1166068466,C
148,Alabama,East South Central,5074296,"Fort Deposit, Alabama",1177020476,C
149,Alabama,East South Central,5074296,"Fort Payne, Alabama",1172551841,GA
150,Alabama,East South Central,5074296,"Franklin, Alabama",1166068620,GA
151,Alabama,East South Central,5074296,"Frisco City, Alabama",1166068863,C
152,Alabama,East South Central,5074296,"Fruithurst, Alabama",1166068877,Start
153,Alabama,East South Central,5074296,"Fulton, Alabama",1166068885,Start
154,Alabama,East South Central,5074296,"Fultondale, Alabama",1165840932,C
155,Alabama,East South Central,5074296,"Fyffe, Alabama",1160192215,C
156,Alabama,East South Central,5074296,"Gadsden, Alabama",1177146243,C
157,Alabama,East South Central,5074296,"Gainesville, Alabama",1166068936,C
158,Alabama,East South Central,5074296,"Gantt, Alabama",1166068957,Start
159,Alabama,East South Central,5074296,"Garden City, Alabama",1166068968,C
160,Alabama,East South Central,5074296,"Gardendale, Alabama",1175530987,C
161,Alabama,East South Central,5074296,"Gaylesville, Alabama",1166069113,C
162,Alabama,East South Central,5074296,"Geiger, Alabama",1166069121,Start
163,Alabama,East South Central,5074296,"Geneva, Alabama",1179698088,C
164,Alabama,East South Central,5074296,"Georgiana, Alabama",1178540000,Start
165,Alabama,East South Central,5074296,"Geraldine, Alabama",1166069211,C
166,Alabama,East South Central,5074296,"Gilbertown, Alabama",1166069407,C
167,Alabama,East South Central,5074296,"Glen Allen, Alabama",1166069457,C
168,Alabama,East South Central,5074296,"Glencoe, Alabama",1165748058,C
169,Alabama,East South Central,5074296,"Glenwood, Alabama",1096814086,Start
170,Alabama,East South Central,5074296,"Goldville, Alabama",1177535939,Start
171,Alabama,East South Central,5074296,"Good Hope, Alabama",1165748200,C
172,Alabama,East South Central,5074296,"Goodwater, Alabama",1166069571,C
173,Alabama,East South Central,5074296,"Gordo, Alabama",1176908359,C
174,Alabama,East South Central,5074296,"Gordon, Alabama",1166069580,C
175,Alabama,East South Central,5074296,"Gordonville, Alabama",1166069594,C
176,Alabama,East South Central,5074296,"Goshen, Alabama",1166069601,C
177,Alabama,East South Central,5074296,"Grant, Alabama",1166069728,GA
178,Alabama,East South Central,5074296,"Graysville, Alabama",1177622200,C
179,Alabama,East South Central,5074296,"Greensboro, Alabama",1172134373,C
180,Alabama,East South Central,5074296,"Greenville, Alabama",1171417115,C
181,Alabama,East South Central,5074296,"Grimes, Alabama",1166180119,Start
182,Alabama,East South Central,5074296,"Grove Hill, Alabama",1144754911,C
183,Alabama,East South Central,5074296,"Guin, Alabama",1173001379,C
184,Alabama,East South Central,5074296,"Gulf Shores, Alabama",1174473447,C
185,Alabama,East South Central,5074296,"Guntersville, Alabama",1169878221,C
186,Alabama,East South Central,5074296,"Gurley, Alabama",1173078483,C
187,Alabama,East South Central,5074296,"Gu-Win, Alabama",1175521277,C
188,Alabama,East South Central,5074296,"Hackleburg, Alabama",1167581471,GA
189,Alabama,East South Central,5074296,"Haleburg, Alabama",1166180281,C
190,Alabama,East South Central,5074296,"Haleyville, Alabama",1168590141,GA
191,Alabama,East South Central,5074296,"Hamilton, Alabama",1170634832,C
192,Alabama,East South Central,5074296,"Hammondville, Alabama",1166180369,C
